,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN,7_RF,7_NN,8_RF,8_NN,9_RF,9_NN
4FGL J0002.3-0815,-0.92618895,0.016694205,0.99986064,-11.877679,-12.450634,0.7075903,1.7012931,0.1468686908483505,1.1791139841079712,1.1144179,bcu,0.016574200966473957,0.007576015111915109,0.4280624322750074,0.4708447886894733,0.48080158186446376,0.45033035793613285,0.0049465449694956545,0.0010221352877638585,0.05077847307700088,0.0666186831128456,0.0076460468300543535,0.0011521765301376686,0.008542472853281025,0.0015287134151859602,0.0025327457867628466,0.0005480231358634932,0.00011550137746007165,0.00037910678068226274
4FGL J0002.4-5156,-0.895238,0.76603854,-0.64279467,-12.047088,-12.626592,0.6588973,0.49868953,0.3689867258071899,1.863142251968384,1.2476373,bcu,0.003275816702257943,0.006005058263467556,0.12478689907721517,0.21473231170299065,0.8467835219866394,0.7457538401878213,0.0027105974693927113,0.0017530997688856875,0.011867890634502947,0.025266221865001447,0.006603174286294409,0.0037397281414935104,0.000818054387440426,0.0009633901161098902,0.003005204917292084,0.0010263413573708806,0.00014884053896486605,0.0007600085968589976
4FGL J0002.7+7220,0.17071296,-0.48799303,0.87284756,-11.436711,-11.941861,0.70265585,2.1686323,0.1408838182687759,1.2504560947418213,1.1472638,spp,0.010629933589113254,0.008101427036796163,0.06028187849569996,0.0524447683012584,0.5457796150801827,0.8323635942148598,0.0001976283088611696,0.0025644290220832393,0.03433055498294359,0.04491253919101969,0.20937922387730704,0.04113390652370975,0.09423355778956073,0.007185310217560266,0.02306486017379527,0.008303644178201968,0.022102747702536285,0.0029903813145104644
4FGL J0002.8+6217,-0.0008907481,-0.45896608,0.8884538,-10.725477,-11.841858,1.5096259,2.1487226,0.3958846628665924,11.000743865966797,1.119458,psr,0.0014285714285714286,0.002341854842910683,0.01,0.0028126380997007074,0.011452784503631961,0.009316725969790999,0.0,0.0009145686367736018,0.004285714285714286,0.0037346289910402133,0.05153439153439154,0.0410147700912901,0.20710873100703614,0.39942487047659997,0.6855654686163161,0.4808056269121411,0.02862433862433863,0.059634315979752626
4FGL J0003.1-5248,-0.8893282,0.7545938,-0.65619224,-11.4025345,-12.404053,1.2547604,1.7436543,0.0473734512925148,1.1180731058120728,0.9030045,bcu,0.012215711904982786,0.015628537833250473,0.8860738178655022,0.8524495185409557,0.09407898599821869,0.1025944933256562,0.00026008517505573495,0.0006224835430465295,0.006769405453699617,0.010960747591378451,1.0055304172951234e-05,0.0020114776378747736,7.194360135536606e-05,0.0008512485145364124,0.0,0.0005388561260821901,0.0005199946970125414,0.014342636887219215
4FGL J0003.2+2207,-0.6344715,-0.31628725,0.9486635,-12.194722,-12.793191,0.7116791,-1.1464918,0.9998927116394044,3.038246154785156,1.095234,bll,0.0018283683379678268,0.006355996297120951,0.18708145492489503,0.19459588970761119,0.6447837475238223,0.7329786564954827,0.02150738558629349,0.003041955925617162,0.03107687631322791,0.01992540176383513,0.011383084258817632,0.021702536700094012,0.10089284021791761,0.010794386149212357,0.0014147578137967212,0.00783035576656386,3.148502326133905e-05,0.0027748211944627196
4FGL J0003.3+2511,-0.5935802,-0.33185875,0.9433291,-11.769421,-12.373468,0.8887443,2.0880826,0.3420576155185699,2.5568552017211914,0.8883198,unas,0.0029436136509491872,0.011639978619247749,0.20255405861316658,0.15832484844264738,0.6125530751524205,0.6364246753190013,0.0013237917666945361,0.0030626099047117157,0.12493133294410248,0.14193069554724722,0.0421849494687831,0.015014741457411693,0.008866158643815805,0.026789742300988757,0.0030315769184750233,0.005497229548133303,0.0016114428415929774,0.001315478860610963
4FGL J0003.3-1928,-0.9726989,0.41948724,0.9077612,-11.492386,-12.364031,1.2196093,2.0928702,0.2337499260902404,3.7529330253601074,1.6979259,bcu,0.002989930660498366,0.011401394124696717,0.41460842106472656,0.34159207489828713,0.30742236795999756,0.24475508854627134,0.001543559359227562,0.003411779561760428,0.17723628039885417,0.385581391177755,0.010644300144300145,0.0015292797633845218,0.0769837118409671,0.009687871438364266,0.002857142857142857,0.0016013123633559791,0.005714285714285714,0.00043980812612466315
4FGL J0003.3-5905,-0.8383461,0.6976536,-0.71643525,-11.839406,-12.568083,0.8394665,2.2856634,-0.0060784863308072,0.0877118706703186,1.0063869,bcu,0.009772662889624665,0.01630005821114821,0.2929553857158618,0.29891894012799475,0.5868559399773791,0.5807648788927263,0.0006106897309217417,0.0031819465372260602,0.10339957213493303,0.08700109263645621,0.0051162867926228105,0.007763584853775199,0.0007148697873211363,0.0021520008582810836,0.0005624521376650863,0.0020085720336456467,1.2140833670578714e-05,0.001908925848746397
4FGL J0003.5+0717,-0.8056576,-0.21803728,0.97594047,-12.092559,-12.60303,0.6892598,1.2529342,0.4647964835166931,2.2953402996063232,1.0394844,bcu,0.0007533352789009059,0.005566288019037275,0.28511836179642286,0.22768928316629397,0.6656121235697602,0.6873516257912458,0.013241287894350206,0.0016545972991306392,0.02330992429989284,0.06018775483003921,0.005142975809620054,0.006586906967496321,0.00499286165670969,0.008737169809264245,0.0016877846594204515,0.0018302692792051749,0.00014134503492293756,0.00039610483828754554
