Group,Node,Classes
1,00000,"sbg, rdg, bll, css"
2,00100,"bcu, ssrq"
3,01000,"fsrq, sey, nlsy1, agn"
4,01100,"glc, nov, spp"
5,01101,"msp, lmb"
6,01110,"hmb, psr, sfr, snr, gc, pwn, gal, bin"
