,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0002.1-6728,-0.7542911,0.64392245,-0.76509076,-11.621635,-12.456538,1.1896977,1.1658882,0.1867902427911758,3.089015007019043,1.0979762,bll,0.22459592538060438,0.2589726199388922,0.023649350649350646,0.0020680423214945723,0.0018400876232201532,0.0002229480579035979,0.0,0.0053728157511292556,0.0159946684945052,0.013227310294634724,0.7339199678523197,0.7201362636359456
4FGL J0002.1+6721c,0.08610353,-0.47260436,0.8812747,-11.20882,-11.759376,0.88912845,2.4486878,0.2591685950756073,3.5366370677948,1.0175134,unk,0.5702716897892401,0.5700877991187047,0.11470455709813761,0.08060069996927297,0.06494341469320804,0.03654416324778134,0.14897461914155014,0.20606684061699765,0.05858945031027992,0.05714925214180484,0.04251626896758433,0.04955124490543861
4FGL J0002.3-0815,-0.92618895,0.016694205,0.99986064,-11.877679,-12.450634,0.7075903,1.7012931,0.1468686908483505,1.1791139841079712,1.1144179,bcu,0.49904328101198503,0.44376934001374,0.003589013329200784,0.0028829274343407756,0.0,0.0002884318542118981,0.008049400026902995,0.0027087009127340503,0.05303199668594775,0.06017439934069189,0.43628630894596343,0.4901762004442814
4FGL J0002.4-5156,-0.895238,0.76603854,-0.64279467,-12.047088,-12.626592,0.6588973,0.49868953,0.3689867258071899,1.863142251968384,1.2476373,bcu,0.8288320209704181,0.7071339020782385,0.016681655984469718,0.001399544865450271,0.0,0.00015430877217107806,0.0022548370981721358,0.001556210908892299,0.017146932826906526,0.020100377165802718,0.13508455312003345,0.26965565620944504
4FGL J0002.7+7220,0.17071296,-0.48799303,0.87284756,-11.436711,-11.941861,0.70265585,2.1686323,0.1408838182687759,1.2504560947418213,1.1472638,spp,0.5408411767960358,0.8101126823333564,0.12726419858645563,0.010226275575928829,0.008121962117532782,0.003634687388741103,0.19494956897279592,0.06006644075905091,0.04195986823061896,0.04316268984742353,0.08686322529656093,0.07279722409549931
4FGL J0002.8+6217,-0.0008907481,-0.45896608,0.8884538,-10.725477,-11.841858,1.5096259,2.1487226,0.3958846628665924,11.000743865966797,1.119458,psr,0.010476190476190476,0.020508715349887872,0.2692857142857143,0.44436753271145196,0.6457142857142858,0.35643164644425074,0.019999999999999997,0.04496721803792987,0.01,0.043547530599430874,0.04452380952380952,0.09017735685704856
4FGL J0003.1-5248,-0.8893282,0.7545938,-0.65619224,-11.4025345,-12.404053,1.2547604,1.7436543,0.0473734512925148,1.1180731058120728,0.9030045,bcu,0.09511975431972997,0.11399886957970724,0.00012517668725897782,0.000991182712869648,0.0,0.0002531618503854285,0.0023188405797101453,0.004352859977047796,0.00749270140814404,0.010662399958143165,0.8949435270051569,0.8697415259218466
4FGL J0003.2+2207,-0.6344715,-0.31628725,0.9486635,-12.194722,-12.793191,0.7116791,-1.1464918,0.9998927116394044,3.038246154785156,1.095234,bll,0.7029549004835735,0.8233785232157388,0.11143065383654344,0.017314922238644836,0.0,0.002067513921475816,0.014179131458918751,0.01543322148444018,0.025292050494578847,0.01834262304733797,0.14614326372638536,0.1234631960923621
4FGL J0003.3+2511,-0.5935802,-0.33185875,0.9433291,-11.769421,-12.373468,0.8887443,2.0880826,0.3420576155185699,2.5568552017211914,0.8883198,unas,0.6279219909013847,0.5746878183169682,0.048076410437080885,0.05776032382275455,0.0014098098098098099,0.002977299360744061,0.014065054372176622,0.015116137182313628,0.1286675010454405,0.1517044140444473,0.17985923343410756,0.19775400727277234
4FGL J0003.3-1928,-0.9726989,0.41948724,0.9077612,-11.492386,-12.364031,1.2196093,2.0928702,0.2337499260902404,3.7529330253601074,1.6979259,bcu,0.3262958867360909,0.1769640939106916,0.05759773636618892,0.010547548351055069,0.002857142857142857,0.0005657628214495915,0.009999999999999998,0.0017977108506778035,0.17378935920921715,0.44363203992547756,0.4294598748313602,0.36649284414064837
