Group,Node,Classes
1,000000,"sey, nov, bcu, agn"
2,000100,"msp, glc"
3,000110,psr
4,000111,"hmb, sfr, pwn, spp"
5,001000,"fsrq, lmb, nlsy1, css, ssrq, bin"
6,010000,"sbg, snr, rdg, gc, bll, gal"
