Group,Node,Physical classes,N assoc,RF assoc,NN assoc,RF unas,NN unas
1,0000,"bll, sbg, rdg",1509,2336.622711924175,2315.9803929498,780.0737407402139,741.8631346219335
2,0010,msp,155,215.86784493707395,216.24936092488463,305.60060371430365,325.6448385714544
3,0011,"snr, pwn, gc, gal",69,114.66708963817462,98.55531117145983,155.70922244519863,88.79973677061454
4,0100,"ssrq, sey, css, agn, fsrq, nlsy1",820,1362.7492727110216,1401.8161371280241,547.2773372413188,579.1591204092881
5,0110,"psr, glc, sfr, bin, hmb, nov, lmb",207,337.0930807895544,334.3987978258305,502.3390958589647,555.5331696267091
