Group,Node,Physical classes,N assoc,RF assoc,NN assoc,RF unas,NN unas
1,0000,"bll, sbg, rdg",1509,2340.734896048675,2334.8805021803137,785.6085149916195,808.4734271029336
2,0010,msp,155,215.37858520095446,219.01772027134137,311.25136531018205,323.24506951415253
3,0011,"snr, pwn, gc, gal",69,113.620013004014,95.2714066648098,149.25173214517838,64.42395418695676
4,0100,"ssrq, sey, css, agn, fsrq, nlsy1",820,1369.315598905704,1393.5314899701839,558.9124336976184,634.0424493315272
5,0110,"psr, glc, sfr, bin, hmb, nov, lmb",207,327.95090684065207,324.2988809133507,485.9759538554012,460.8150998644296
